norm_id,control_id,source_id,document_title_zh,document_title_en,article,effective_date,source_url,control_objective,evidence_type,automation_level,ambiguity_level,author_review_status,legal_expert_review_status,interpretation_version
CN-AIGC-LABEL-001,CTRL-AIGC-VISIBLE-LABEL-EXISTENCE,LABEL-2025,人工智能生成合成内容标识办法,Measures for the Labeling of AI-Generated Synthetic Content,第四条 / 第九条,2025-09-01,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,Explicit AIGC labels should exist only for human-confirmed explicit-label scenarios unless scoped Article 9 provider-delivery exception evidence applies,labeling_check,fully_automatable,medium,reviewed,not_reviewed,1.1
CN-AIGC-LABEL-PROMINENCE-001,CTRL-AIGC-VISIBLE-LABEL-PROMINENCE,LABEL-2025,人工智能生成合成内容标识办法,Measures for the Labeling of AI-Generated Synthetic Content,第四条,2025-09-01,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,Label prominence and perceptibility require human review,human_label_review,human_review_required,high,reviewed,not_reviewed,1.1
CN-AIGC-META-001,CTRL-AIGC-METADATA-LABEL,LABEL-2025,人工智能生成合成内容标识办法,Measures for the Labeling of AI-Generated Synthetic Content,第五条,2025-09-01,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,Generated synthetic content metadata should include underlying machine-readable label fields,label_metadata,fully_automatable,low,reviewed,not_reviewed,1.1
CN-GB-META-001,CTRL-GB-METADATA-FIELDS,GB45438-2025,GB 45438-2025 网络安全技术 人工智能生成合成内容标识方法,GB 45438-2025 Cybersecurity Technology: Labeling Method for AI-Generated Synthetic Content,Metadata field method,2025-09-01,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F32EA2A561F1886CD8D606513512D547,Synthetic-content files that support metadata should include selected technical metadata fields,metadata_inspection,fully_automatable,low,reviewed,not_reviewed,1.1
CN-PIPL-CONSENT-001,CTRL-PIPL-SEPARATE-CONSENT,PIPL-2021,中华人民共和国个人信息保护法,Personal Information Protection Law of the People's Republic of China,第二十九条,2021-11-01,https://www.npc.gov.cn/WZWSREL25wYy9jMi9jMzA4MzQvMjAyMTA4L3QyMDIxMDgyMF8zMTMwODguaHRtbD9yZWY9aW1i,Sensitive personal information in actor or digital human workflows should have separate consent evidence unless a reviewed exception applies,consent_record,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-PIPL-BIOMETRIC-001,CTRL-PIPL-BIOMETRIC-CLASSIFICATION,PIPL-2021,中华人民共和国个人信息保护法,Personal Information Protection Law of the People's Republic of China,第二十八条,2021-11-01,https://www.npc.gov.cn/WZWSREL25wYy9jMi9jMzA4MzQvMjAyMTA4L3QyMDIxMDgyMF8zMTMwODguaHRtbD9yZWY9aW1i,Face voice or biometric-like actor materials should be classified before processing,legal_review_record,human_review_required,high,reviewed,not_reviewed,1.1
CN-DEEPSYN-CONSENT-001,CTRL-DEEPSYN-FACE-VOICE-USER-PROMPT,DEEPSYN-2023,互联网信息服务深度合成管理规定,Provisions on the Administration of Deep Synthesis Internet Information Services,第十四条,2023-01-10,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,Face or voice editing features should prompt users to notify edited individuals,consent_prompt_record,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-DEEPSYN-CONSENT-001,CTRL-DEEPSYN-FACE-VOICE-CONSENT-ASSURANCE,DEEPSYN-2023,互联网信息服务深度合成管理规定,Provisions on the Administration of Deep Synthesis Internet Information Services,第十四条,2023-01-10,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,Derived organizational assurance for edited-person consent evidence and scope review,consent_assurance_record,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-AIGC-FILING-001,CTRL-AIGC-MODEL-FILING,GENAI-2023,生成式人工智能服务管理暂行办法,Interim Measures for the Management of Generative AI Services,第十七条,2023-08-15,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,Public-facing generative AI services with public opinion or social mobilization capacity should have reviewed filing applicability and registration metadata,model_filing_record,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-AIGC-SAFETY-001,CTRL-AIGC-CONTENT-SAFETY-PRINCIPLE,GENAI-2023,生成式人工智能服务管理暂行办法,Interim Measures for the Management of Generative AI Services,第四条,2023-08-15,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,Article 4 content safety is treated as a principle and prohibited-content norm requiring human review,safety_review_record,human_review_required,high,reviewed,not_reviewed,1.1
CN-AIGC-COMPLAINT-001,CTRL-AIGC-COMPLAINT-MECHANISM,GENAI-2023,生成式人工智能服务管理暂行办法,Interim Measures for the Management of Generative AI Services,第十五条,2023-08-15,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,Complaints should be linked to disclosed process feedback time limit and tracked handling result,complaint_record,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-DEEPSYN-LABEL-001,CTRL-DEEPSYN-CONFUSION-LABEL,DEEPSYN-2023,互联网信息服务深度合成管理规定,Provisions on the Administration of Deep Synthesis Internet Information Services,第十七条,2023-01-10,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,Deep synthesis content that may cause public confusion should carry a prominent label,labeling_check,human_review_required,high,reviewed,not_reviewed,1.1
