request_id,output_id,overall_status,failed_controls,review_controls
REQ-0001,OUT-0001,pass,,
REQ-0002,OUT-0002,fail,CONSENT_EXISTS,
REQ-0003,OUT-0003,pass,,
REQ-0004,OUT-0004,pass,,
REQ-0005,OUT-0005,pass,,
REQ-0006,OUT-0006,pass,,
REQ-0007,OUT-0007,pass,,
REQ-0008,OUT-0008,pass,,
REQ-0009,OUT-0009,review,,CONTENT_SAFETY
REQ-0010,OUT-0010,pass,,
REQ-0011,OUT-0011,review,,COMPLAINT_HANDLING
REQ-0012,OUT-0012,pass,,
REQ-0013,OUT-0013,pass,,
REQ-0014,OUT-0014,pass,,
REQ-0015,OUT-0015,pass,,
REQ-0016,OUT-0016,review,,"AIGC_VISIBLE_LABEL,COMPLAINT_HANDLING"
REQ-0017,OUT-0017,pass,,
REQ-0018,OUT-0018,pass,,
REQ-0019,OUT-0019,pass,,
REQ-0020,OUT-0020,review,,AIGC_VISIBLE_LABEL
REQ-0021,OUT-0021,pass,,
REQ-0022,OUT-0022,fail,CONSENT_SCOPE_USAGE,
REQ-0023,OUT-0023,pass,,
REQ-0024,OUT-0024,pass,,
REQ-0025,OUT-0025,pass,,
REQ-0026,OUT-0026,pass,,
REQ-0027,OUT-0027,pass,,
REQ-0028,OUT-0028,pass,,
REQ-0029,OUT-0029,pass,,
REQ-0030,OUT-0030,pass,,
REQ-0031,OUT-0031,fail,CONSENT_EXISTS,
REQ-0032,OUT-0032,pass,,
REQ-0033,OUT-0033,pass,,
REQ-0034,OUT-0034,fail,MODEL_FILING,
REQ-0035,OUT-0035,pass,,
REQ-0036,OUT-0036,pass,,
REQ-0037,OUT-0037,review,,CONTENT_SAFETY
REQ-0038,OUT-0038,pass,,
REQ-0039,OUT-0039,pass,,
REQ-0040,OUT-0040,fail,AIGC_INVISIBLE_LABEL,
REQ-0041,OUT-0041,pass,,
REQ-0042,OUT-0042,pass,,
REQ-0043,OUT-0043,pass,,
REQ-0044,OUT-0044,pass,,
REQ-0045,OUT-0045,pass,,
REQ-0046,OUT-0046,pass,,
REQ-0047,OUT-0047,pass,,
REQ-0048,OUT-0048,pass,,
REQ-0049,OUT-0049,pass,,
REQ-0050,OUT-0050,pass,,
REQ-0051,OUT-0051,pass,,
REQ-0052,OUT-0052,pass,,
REQ-0053,OUT-0053,pass,,
REQ-0054,OUT-0054,fail,CONTENT_SAFETY,
REQ-0055,OUT-0055,pass,,
REQ-0056,OUT-0056,pass,,
REQ-0057,OUT-0057,pass,,
REQ-0058,OUT-0058,review,,AIGC_VISIBLE_LABEL
REQ-0059,OUT-0059,pass,,
REQ-0060,OUT-0060,pass,,
REQ-0061,OUT-0061,pass,,
REQ-0062,OUT-0062,pass,,
REQ-0063,OUT-0063,pass,,
REQ-0064,OUT-0064,pass,,
REQ-0065,OUT-0065,pass,,
REQ-0066,OUT-0066,pass,,
REQ-0067,OUT-0067,pass,,
REQ-0068,OUT-0068,pass,,
REQ-0069,OUT-0069,pass,,
REQ-0070,OUT-0070,pass,,
REQ-0071,OUT-0071,pass,,
REQ-0072,OUT-0072,pass,,
REQ-0073,OUT-0073,pass,,
REQ-0074,OUT-0074,pass,,
REQ-0075,OUT-0075,pass,,
REQ-0076,OUT-0076,pass,,
REQ-0077,OUT-0077,pass,,
REQ-0078,OUT-0078,fail,COMPLAINT_HANDLING,
REQ-0079,OUT-0079,pass,,
REQ-0080,OUT-0080,pass,,
REQ-0081,OUT-0081,pass,,
REQ-0082,OUT-0082,pass,,
REQ-0083,OUT-0083,pass,,
REQ-0084,OUT-0084,pass,,
REQ-0085,OUT-0085,fail,CONSENT_EXISTS,
REQ-0086,OUT-0086,pass,,
REQ-0087,OUT-0087,pass,,
REQ-0088,OUT-0088,pass,,
REQ-0089,OUT-0089,fail,CONSENT_EXISTS,
REQ-0090,OUT-0090,pass,,
REQ-0091,OUT-0091,pass,,
REQ-0092,OUT-0092,pass,,
REQ-0093,OUT-0093,pass,,
REQ-0094,OUT-0094,pass,,
REQ-0095,OUT-0095,pass,,
REQ-0096,OUT-0096,pass,,
REQ-0097,OUT-0097,pass,,
REQ-0098,OUT-0098,pass,,
REQ-0099,OUT-0099,pass,,
REQ-0100,OUT-0100,pass,,
REQ-0101,OUT-0101,pass,,
