norm_id,source_id,document_title_zh,document_title_en,article,source_url,effective_date,normative_fragment,regulated_actor,modality,required_action,regulated_object,trigger_condition,exception,deadline_or_timing,automation_level,ambiguity_level,author_review_status,legal_expert_review_status,interpretation_version
CN-AIGC-SAFETY-001,GENAI-2023,生成式人工智能服务管理暂行办法,Interim Measures for the Management of Generative AI Services,第四条,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2023-08-15,不得生成法律行政法规禁止的内容,generative_ai_service_provider,must_not,generate_prohibited_content,generated_content,content_is_generated_for_user,,during_service,human_review_required,high,reviewed,not_reviewed,1.1
CN-AIGC-COMPLAINT-001,GENAI-2023,生成式人工智能服务管理暂行办法,Interim Measures for the Management of Generative AI Services,第十五条,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2023-08-15,建立投诉举报机制设置便捷入口公布处理流程和反馈时限并及时处理反馈,generative_ai_service_provider,must,handle_public_complaints,complaint_record,complaint_received,,within_disclosed_feedback_time_limit,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-AIGC-FILING-001,GENAI-2023,生成式人工智能服务管理暂行办法,Interim Measures for the Management of Generative AI Services,第十七条,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2023-08-15,具有舆论属性或者社会动员能力的生成式人工智能服务应开展安全评估并履行算法备案手续,generative_ai_service_provider,must,complete_security_assessment_and_algorithm_filing,public_facing_generative_ai_service,service_is_public_facing and service_has_public_opinion_or_social_mobilization_capacity,filing_not_required_after_review,before_public_service_or_change,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-DEEPSYN-CONSENT-001,DEEPSYN-2023,互联网信息服务深度合成管理规定,Provisions on the Administration of Deep Synthesis Internet Information Services,第十四条,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,2023-01-10,提供人脸人声等生物识别信息编辑功能的应提示使用者依法告知被编辑个人并取得单独同意,deep_synthesis_service_provider_or_technical_supporter,must,prompt_notice_and_obtain_separate_consent,face_or_voice_editing_feature,deep_synthesis_face_or_voice_editing_feature,,before_editing,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-DEEPSYN-LABEL-001,DEEPSYN-2023,互联网信息服务深度合成管理规定,Provisions on the Administration of Deep Synthesis Internet Information Services,第十七条,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,2023-01-10,可能导致公众混淆或者误认的深度合成内容应在合理位置区域显著标识,deep_synthesis_service_provider,must,add_prominent_label,deep_synthesis_content,deep_synthesis_content and content_may_confuse_public,,before_publication,human_review_required,high,reviewed,not_reviewed,1.1
CN-AIGC-LABEL-001,LABEL-2025,人工智能生成合成内容标识办法,Measures for the Labeling of AI-Generated Synthetic Content,第四条 / 第九条,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,2025-09-01,属于深度合成规定第十七条第一款情形的生成合成内容应添加显式标识但第九条允许特定例外路径,generative_ai_service_provider,must,add_or_document_explicit_label,user_facing_generated_synthetic_content,output_is_ai_generated and output_is_user_facing and output_matches_explicit_label_scenario,documented_article_9_provider_delivery_exception,before_delivery_or_publication,fully_automatable,medium,reviewed,not_reviewed,1.1
CN-AIGC-LABEL-PROMINENCE-001,LABEL-2025,人工智能生成合成内容标识办法,Measures for the Labeling of AI-Generated Synthetic Content,第四条,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,2025-09-01,显式标识应以用户明显感知方式和显著提示标识呈现,generative_ai_service_provider,must,review_label_prominence,explicit_label,visible_label_present,,before_publication,human_review_required,high,reviewed,not_reviewed,1.1
CN-AIGC-META-001,LABEL-2025,人工智能生成合成内容标识办法,Measures for the Labeling of AI-Generated Synthetic Content,第五条,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,2025-09-01,隐式标识包含生成合成内容属性信息服务提供者名称或者编码内容编号等制作要素信息,generative_ai_service_provider,must,add_machine_readable_metadata_label,generated_synthetic_content,output_is_ai_generated,,at_generation_or_publication,fully_automatable,low,reviewed,not_reviewed,1.1
CN-GB-META-001,GB45438-2025,GB 45438-2025 网络安全技术 人工智能生成合成内容标识方法,GB 45438-2025 Cybersecurity Technology: Labeling Method for AI-Generated Synthetic Content,Metadata field method,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F32EA2A561F1886CD8D606513512D547,2025-09-01,技术标准背景用于映射生成合成内容属性服务提供者编码内容编号和传播要素字段,service_provider,must,populate_metadata_label_fields,synthetic_content_file,file_supports_metadata,,at_generation,fully_automatable,low,reviewed,not_reviewed,1.1
CN-PIPL-CONSENT-001,PIPL-2021,中华人民共和国个人信息保护法,Personal Information Protection Law of the People's Republic of China,第二十九条,https://www.npc.gov.cn/WZWSREL25wYy9jMi9jMzA4MzQvMjAyMTA4L3QyMDIxMDgyMF8zMTMwODguaHRtbD9yZWY9aW1i,2021-11-01,处理敏感个人信息应当取得个人的单独同意,personal_information_processor,must,obtain_separate_consent,sensitive_personal_information,processing_sensitive_personal_information,lawful_exception_applies,before_processing,partially_automatable,medium,reviewed,not_reviewed,1.1
CN-PIPL-BIOMETRIC-001,PIPL-2021,中华人民共和国个人信息保护法,Personal Information Protection Law of the People's Republic of China,第二十八条,https://www.npc.gov.cn/WZWSREL25wYy9jMi9jMzA4MzQvMjAyMTA4L3QyMDIxMDgyMF8zMTMwODguaHRtbD9yZWY9aW1i,2021-11-01,敏感个人信息包括生物识别等信息,personal_information_processor,must,classify_biometric_information,biometric_identifier,biometric_data_processed,,before_processing,human_review_required,high,reviewed,not_reviewed,1.1
